id,account_name,facebook_id,twitter_id,instagram_id,youtube_id
a-63a57eb2509c11eb9aea8c8590014502,ตั๋วร้อน ป๊อปคอร์นชีส,5.04596E+14,,,
a-63a5834e509c11eb9aea8c8590014502,Mint Movie,,103535195,,
a-63a587b8509c11eb9aea8c8590014502,Man On Film,2.35732E+14,,,
a-63a58b78509c11eb9aea8c8590014502,ฝนตกเป็นหนัง,1.22659E+14,,,
a-63a5901e509c11eb9aea8c8590014502,วิจารณ์ภาพยนตร์,1.94908E+14,,,
a-63a599ce509c11eb9aea8c8590014502,หนังฝังมุก,1.4471E+15,,,
a-63a59ff0509c11eb9aea8c8590014502,หนังข้างถนน,5.15585E+14,,,
a-63a5a40a509c11eb9aea8c8590014502,One day a movie,1.65837E+15,,,
a-63a5a7e8509c11eb9aea8c8590014502,Watchman,3.88802E+14,,,
a-63a5abbc509c11eb9aea8c8590014502,ผมชอบเรื่องนี้,5.16841E+14,,,
a-63a5b364509c11eb9aea8c8590014502,จับหนังมารีวิว,4.80513E+14,1.05345E+18,,
a-63a5b8dc509c11eb9aea8c8590014502,เทพเจ้าคอนเน็ตโต้,1.3804E+15,,,
a-63a5be5e509c11eb9aea8c8590014502,หมื่นทิพ,1.17783E+14,,,
a-63a5c296509c11eb9aea8c8590014502,MTmovie,,,,
a-63a5c714509c11eb9aea8c8590014502,สมาคมนิยมหนังหวาน [Romantic&Comedy Movie Society],1.85483E+14,2873492539,,
a-63a5caca509c11eb9aea8c8590014502,หนังเรื่องนี้ ku ดูแล้ว,7.1542E+14,3315031159,,
a-63a5ce80509c11eb9aea8c8590014502,ฉากนี้แม่งได้ว่ะ,1.76649E+15,,,
a-63a5d222509c11eb9aea8c8590014502,โรงภาพยนตร์ที่ 3 ที่นั่ง E12,3.38523E+14,3413013792,,
a-63a5d5ba509c11eb9aea8c8590014502,แมวตัวนั้นนั่งดูหนังตรงแถวc,4.05563E+14,2789247198,,
a-63a5d952509c11eb9aea8c8590014502,Movies For You,6.85199E+14,,,
a-63a5dce0509c11eb9aea8c8590014502,หนังจวยจวย,1.01535E+14,,,
a-63a5e078509c11eb9aea8c8590014502,Sense on Films,1.39506E+14,,,
a-63a5e406509c11eb9aea8c8590014502,Filmzlap,2.81782E+14,317212854,,
a-63a5e794509c11eb9aea8c8590014502,deknang.com,1.02691E+14,66280893,,
a-63a5eb22509c11eb9aea8c8590014502,Nalu,6.84814E+14,1968182893,8318506,
a-63a5eea6509c11eb9aea8c8590014502,Give me museums,,1.09951E+18,5808312942,
a-63a5f234509c11eb9aea8c8590014502,Sunshine Is Over Me,3.69308E+14,,,
a-63a5f5cc509c11eb9aea8c8590014502,Here & There,5.78494E+14,,,
a-63a5f950509c11eb9aea8c8590014502,22mm.t,2.23354E+15,146371371,4312258635,
a-63a5fcde509c11eb9aea8c8590014502,2an_doodle,1.57046E+15,8.52891E+17,1766098626,
a-63a6006c509c11eb9aea8c8590014502,Butter Club,,,3556013071,
