ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,6768,7.7,9,15.4,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,7330,11.8,9.5,5.2,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,1675,2.7,2.3,0.7,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,656,1.4,0.3,1,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,97,0.2,0.1,0,0,,
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,35,0,0,0.5,0,,
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,892,3.2,0.1,0,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,5555,17.6,2.8,0,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,25403,40.4,43.1,30.5,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,11213,13.6,21.8,15.5,89.9
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,14679,17.1,25.1,40.5,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,3133,5.5,2.9,11.8,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,1575,1.7,3.8,0.4,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,439,0.9,0.4,0.8,10.1,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0.4,0.3,0.4,2.1,0,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,0.2,0,0.5,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,5.7,2,13,11.3,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,38.6,34,45.3,60.1,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,37.3,43.1,27,21.1,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,15.1,18,11.2,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,2.1,1.9,1.9,5.4,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,0.6,0.6,0.7,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0,0,0,0,0,,
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,860,0.6,0.2,0,0,,
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,1496,1.3,0,0,0
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,11369,8.2,1.9,0,0
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,52861,28.1,13.9,12.7,13.4
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,43671,21.6,14.3,9,0
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,88767,26.7,41.1,33.5,6.8
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,42986,5.7,21.8,16.6,36
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,20795,6.6,5.1,15.5,28.2
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,5224,1.1,1.7,2.7,15.7,,
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0.5,0.6,0.6,0,0,,
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,1,1.5,0.7,0,0
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,3.6,7.8,0,0,0
65,พิษณุโลก            ,Phitsanulok         ,1,กรุงเทพมหานคร,Bangkok Metropolis,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,25,34.4,20.4,6.5,0
